name,salary,sprocket_player_id,member_id,discord_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Through
Branch,13.0,2582,2641,354096353439252490,Champion League,FP,NA,NONE,0,Not Eligible
Ase,15.5,2873,2932,239204488030715914,Master League,FP,NA,NONE,0,Not Eligible
ApparentlyCat,19.0,1875,1933,428371674228981760,Premier League,Pend,NA,NONE,0,Not Eligible
Intra,17.0,223,227,354413391210741762,Premier League,FP,NA,NONE,0,Not Eligible
Squab,11.0,3023,3082,479182933496692737,Academy League,FP,NA,PLAYERF,0,Not Eligible
NinjaMonkey,11.5,4392,4451,973658503820476426,Academy League,FP,NA,NONE,0,Not Eligible
Gabriel,17.0,1753,1810,362548537596182532,Master League,FP,NA,PLAYERB,0,Not Eligible
Camerahn,16.5,3377,3436,496456364877414403,Master League,FP,NA,PLAYERD,0,Not Eligible
Motions.,14.0,1181,1205,150748676652924928,Champion League,FP,NA,PLAYERD,0,Not Eligible
Jakees.,11.5,2596,2655,746759159625547785,Academy League,FP,NA,NONE,0,Not Eligible
ZupaTr00pa,13.0,1415,1440,241679341522518016,Champion League,FP,NA,NONE,0,Not Eligible
Sammy,14.5,460,466,529340142129774593,Champion League,FP,NA,NONE,0,Not Eligible
Bomb_Voyage01,13.0,4806,4865,267496928344801282,Academy League,Bears,NA,PLAYERC,3,Not Eligible
Limon,17.5,4974,5032,249326300148269058,Master League,FP,NA,NONE,0,Not Eligible
TheSodaJerk91,11.5,4379,4438,893592129044103290,Academy League,FP,NA,NONE,0,Not Eligible
Prodwaze,12.0,5652,5711,689261181038231574,Academy League,FP,NA,NONE,0,Not Eligible
Spoofy,13.5,4368,4427,743890028085641287,Champion League,FP,NA,NONE,0,Not Eligible
WinterChill,14.0,4183,4241,605115800478810153,Champion League,FP,NA,NONE,0,Not Eligible
Revoltinghades,14.0,2990,3049,231849961371729920,Champion League,Pend,NA,NONE,0,Not Eligible
Wiildcat1,10.5,1386,1410,109739707709063168,Academy League,FP,NA,NONE,0,Not Eligible
Squashy-Gram7,7.0,4805,4864,1024224237340348499,Foundation League,FP,NA,NONE,0,Not Eligible
Leumas,14.5,4719,4778,741116612458840181,Champion League,Comets,Assistant General Manager,NONE,0,Not Eligible
irox,16.0,4353,4412,537802983149142057,Champion League,FP,NA,NONE,0,Not Eligible
Pork,17.0,5923,5971,610259677254516769,Master League,FP,NA,NONE,0,Not Eligible
Dr.Acceleration,16.0,1710,1740,366403593231925248,Master League,FP,NA,NONE,0,Not Eligible
Ein385,12.5,1554,1584,240891227363344385,Academy League,FP,NA,NONE,0,Not Eligible
Shyerow,18.5,4423,4482,171095069091168257,Master League,FP,NA,NONE,0,Not Eligible
Rainclaw4,14.5,5761,5820,415315863818731530,Champion League,FP,NA,NONE,0,Not Eligible
Stache201,10.5,520,527,411970796102090772,Academy League,FP,NA,NONE,0,Not Eligible
Gidderrs,12.5,181,185,308086057965060096,Academy League,FP,NA,NONE,0,Not Eligible
Korver,13.0,4775,4834,479407861475311616,Academy League,Spartans,Captain,PLAYERA,0,Not Eligible
ky1e-g9,11.0,3929,3988,465059640800051200,Academy League,FP,NA,NONE,0,Not Eligible
